Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2017-09-23 08:54:16,Running,,3.15,17:24,5:31,10.87,274.0,4,,,2017-09-23-0854.gpx
2017-09-22 12:15:07,Running,,9.07,44:49,4:56,12.15,784.0,2,,,2017-09-22-1215.gpx
2017-09-21 12:27:17,Running,,16.57,1:15:59,4:35,13.09,1434.0,19,,,2017-09-21-1227.gpx
2017-09-20 07:22:22,Running,,7.85,37:47,4:49,12.47,678.0,4,,,2017-09-20-0722.gpx
2017-09-19 04:55:12,Running,,4.20,20:47,4:57,12.11,364.0,4,,,2017-09-19-0455.gpx
2017-09-18 07:47:53,Running,,8.77,42:21,4:50,12.43,760.0,10,,,2017-09-18-0747.gpx
2017-09-17 14:34:26,Running,,5.46,23:58,4:23,13.67,466.0,1,,"",2017-09-17-1434.gpx
2017-09-16 10:09:39,Running,,13.60,1:05:48,4:50,12.40,1183.0,24,,,2017-09-16-1009.gpx
2017-09-15 09:11:43,Running,,5.78,27:09,4:42,12.77,497.0,1,,,2017-09-15-0911.gpx
2017-09-14 08:10:18,Running,,6.01,29:22,4:53,12.27,519.0,5,,,2017-09-14-0810.gpx
2017-09-13 06:38:18,Running,,5.21,24:40,4:44,12.68,453.0,4,,,2017-09-13-0638.gpx
2017-09-12 07:10:27,Running,,7.55,34:30,4:34,13.13,647.0,4,,,2017-09-12-0710.gpx
2017-09-11 08:23:50,Running,,5.54,29:06,5:15,11.43,480.0,5,,,2017-09-11-0823.gpx
2017-09-10 10:22:13,Running,,7.45,36:56,4:58,12.10,643.0,4,,,2017-09-10-1022.gpx
2017-09-09 08:53:42,Running,,5.44,24:47,4:33,13.17,466.0,1,,,2017-09-09-0853.gpx
2017-09-08 13:19:58,Running,,6.74,35:28,5:16,11.41,584.0,7,,,2017-09-08-1319.gpx
2017-09-08 13:07:45,Running,,2.28,11:19,4:58,12.09,197.0,1,,,2017-09-08-1307.gpx
2017-09-07 07:26:14,Running,,4.52,23:14,5:08,11.67,392.0,5,,"",2017-09-07-0726.gpx
2017-09-06 07:06:52,Running,,7.65,38:36,5:03,11.90,661.0,4,,,2017-09-06-0706.gpx
